Reporting Starts,Reporting Ends,Campaign Name,Ad Set Name,Ad Name,Impressions,Reach,Frequency,Clicks,CTR,Spend,CPM,CPC,Conversions,Cost Per Conversion,Conversion Value
2024-01-01,2024-01-01,Lookalike_1%,LAL_1%_US,Carousel_Ad_1,85000,45000,1.89,2550,3.00%,$510.00,$6.00,$0.20,51,$10.00,$2550.00
2024-01-01,2024-01-01,Interest_Targeting,Interest_Tech,Video_Ad_1,120000,80000,1.50,2400,2.00%,$720.00,$6.00,$0.30,36,$20.00,$1800.00
2024-01-01,2024-01-01,Retargeting,Site_Visitors_7d,Image_Ad_1,45000,25000,1.80,2700,6.00%,$315.00,$7.00,$0.12,72,$4.38,$3600.00
2024-01-01,2024-01-01,Broad_Audience,Broad_US,Video_Ad_2,150000,100000,1.50,1500,1.00%,$750.00,$5.00,$0.50,15,$50.00,$750.00
2024-01-02,2024-01-02,Lookalike_1%,LAL_1%_US,Carousel_Ad_1,90000,48000,1.88,2800,3.11%,$540.00,$6.00,$0.19,56,$9.64,$2800.00
2024-01-02,2024-01-02,Interest_Targeting,Interest_Tech,Video_Ad_1,125000,82000,1.52,2500,2.00%,$750.00,$6.00,$0.30,38,$19.74,$1900.00
2024-01-02,2024-01-02,Retargeting,Site_Visitors_7d,Image_Ad_1,48000,27000,1.78,2900,6.04%,$336.00,$7.00,$0.12,78,$4.31,$3900.00
2024-01-02,2024-01-02,Broad_Audience,Broad_US,Video_Ad_2,155000,105000,1.48,1600,1.03%,$775.00,$5.00,$0.48,16,$48.44,$800.00
2024-01-03,2024-01-03,Lookalike_1%,LAL_1%_US,Carousel_Ad_1,80000,43000,1.86,2400,3.00%,$480.00,$6.00,$0.20,48,$10.00,$2400.00
2024-01-03,2024-01-03,Interest_Targeting,Interest_Tech,Video_Ad_1,115000,78000,1.47,2300,2.00%,$690.00,$6.00,$0.30,34,$20.29,$1700.00
2024-01-03,2024-01-03,Retargeting,Site_Visitors_7d,Image_Ad_1,42000,23000,1.83,2500,5.95%,$294.00,$7.00,$0.12,66,$4.45,$3300.00
2024-01-03,2024-01-03,Broad_Audience,Broad_US,Video_Ad_2,140000,95000,1.47,1400,1.00%,$700.00,$5.00,$0.50,14,$50.00,$700.00
2024-01-04,2024-01-04,Lookalike_1%,LAL_1%_US,Carousel_Ad_1,95000,50000,1.90,3000,3.16%,$570.00,$6.00,$0.19,60,$9.50,$3000.00
2024-01-04,2024-01-04,Interest_Targeting,Interest_Tech,Video_Ad_1,130000,85000,1.53,2600,2.00%,$780.00,$6.00,$0.30,40,$19.50,$2000.00
2024-01-04,2024-01-04,Retargeting,Site_Visitors_7d,Image_Ad_1,50000,28000,1.79,3100,6.20%,$350.00,$7.00,$0.11,82,$4.27,$4100.00
2024-01-04,2024-01-04,Broad_Audience,Broad_US,Video_Ad_2,160000,110000,1.45,1700,1.06%,$800.00,$5.00,$0.47,17,$47.06,$850.00
2024-01-05,2024-01-05,Lookalike_1%,LAL_1%_US,Carousel_Ad_1,100000,52000,1.92,3200,3.20%,$600.00,$6.00,$0.19,64,$9.38,$3200.00
2024-01-05,2024-01-05,Interest_Targeting,Interest_Tech,Video_Ad_1,135000,88000,1.53,2700,2.00%,$810.00,$6.00,$0.30,42,$19.29,$2100.00
2024-01-05,2024-01-05,Retargeting,Site_Visitors_7d,Image_Ad_1,52000,29000,1.79,3200,6.15%,$364.00,$7.00,$0.11,86,$4.23,$4300.00
2024-01-05,2024-01-05,Broad_Audience,Broad_US,Video_Ad_2,165000,115000,1.43,1750,1.06%,$825.00,$5.00,$0.47,18,$45.83,$900.00
